"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3344","@MA-71 Fonctionnalite Bouton Import Fichier","webkit","Tue Dec 17 10:58:39 UTC 2024","passed","Tue Dec 17 10:58:43 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","2464","Importer un fichier","chromium","Tue Dec 17 10:57:11 UTC 2024","passed","Tue Dec 17 10:57:14 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","7170","@MA-69 Ajout collaborateur","chromium","Tue Dec 17 10:56:26 UTC 2024","passed","Tue Dec 17 10:56:34 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","1581","@MA-74 Dashboard: Verification des paramètres du widget Echeances sur salaire","chromium","Tue Dec 17 10:56:45 UTC 2024","passed","Tue Dec 17 10:56:47 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","3473","@MA-69 Ajout collaborateur","firefox","Tue Dec 17 10:57:22 UTC 2024","passed","Tue Dec 17 10:57:26 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","3193","Ajouter un administrateur","firefox","Tue Dec 17 10:58:06 UTC 2024","passed","Tue Dec 17 10:58:09 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","5993","@MA-69 Ajout collaborateur","webkit","Tue Dec 17 10:58:28 UTC 2024","passed","Tue Dec 17 10:58:34 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","3089","@MA-74 Dashboard: Verification des paramètres du widget Echeances sur salaire","webkit","Tue Dec 17 10:58:52 UTC 2024","passed","Tue Dec 17 10:58:55 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","3350","@MA-77 Dashboard: Vérification des filtres sur le dashboard","firefox","Tue Dec 17 10:57:49 UTC 2024","passed","Tue Dec 17 10:57:53 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","2434","@MA-76 Dashboard: Verification tableau utilisateurs","firefox","Tue Dec 17 10:57:47 UTC 2024","passed","Tue Dec 17 10:57:49 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","3388","Ajouter un administrateur","webkit","Tue Dec 17 10:59:19 UTC 2024","passed","Tue Dec 17 10:59:23 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","3185","@MA-72 Editer un collaborateur","chromium","Tue Dec 17 10:56:39 UTC 2024","passed","Tue Dec 17 10:56:42 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","4929","Rechercher un administrateur","webkit","Tue Dec 17 10:59:23 UTC 2024","passed","Tue Dec 17 10:59:28 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","3299","Importer un fichier","webkit","Tue Dec 17 10:59:28 UTC 2024","passed","Tue Dec 17 10:59:31 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","3043","@MA-73 Suspendre un collaborateur","chromium","Tue Dec 17 10:56:42 UTC 2024","passed","Tue Dec 17 10:56:45 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","2131","@MA-74 Dashboard: Verification des paramètres du widget Echeances sur salaire","firefox","Tue Dec 17 10:57:42 UTC 2024","passed","Tue Dec 17 10:57:44 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","2558","@MA-65 Activités: Vérification colonnes de ta table Activité","chromium","Tue Dec 17 10:56:54 UTC 2024","passed","Tue Dec 17 10:56:56 UTC 2024","TestSuite Activités","baseconnexion.spec.ts","",""
"","1634","@MA-71 Fonctionnalite Bouton Import Fichier","chromium","Tue Dec 17 10:56:37 UTC 2024","passed","Tue Dec 17 10:56:39 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","3074","Ajouter un administrateur","chromium","Tue Dec 17 10:57:04 UTC 2024","passed","Tue Dec 17 10:57:07 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","4936","Rechercher un administrateur","firefox","Tue Dec 17 10:58:09 UTC 2024","passed","Tue Dec 17 10:58:14 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","990","@MA-15 connexion","chromium","Tue Dec 17 10:57:21 UTC 2024","passed","Tue Dec 17 10:57:22 UTC 2024","","login.spec.ts","",""
"","3141","@MA-76 Dashboard: Verification tableau utilisateurs","webkit","Tue Dec 17 10:58:58 UTC 2024","passed","Tue Dec 17 10:59:01 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","2719","@MA-75 Dashboard: Verification de la vue d-ensemble du remboursement","firefox","Tue Dec 17 10:57:44 UTC 2024","passed","Tue Dec 17 10:57:47 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","4056","@MA-72 Editer un collaborateur","firefox","Tue Dec 17 10:57:33 UTC 2024","passed","Tue Dec 17 10:57:37 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","2213","@MA-77 Dashboard: Vérification des filtres sur le dashboard","chromium","Tue Dec 17 10:56:51 UTC 2024","passed","Tue Dec 17 10:56:54 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","2401","@MA-68 Vérifier paramètres du profil connecté","firefox","Tue Dec 17 10:58:03 UTC 2024","passed","Tue Dec 17 10:58:06 UTC 2024","TestSuite Compte_Utilisateur","baseconnexion.spec.ts","",""
"","4462","@MA-70 Rechercher un collaborateur","firefox","Tue Dec 17 10:57:26 UTC 2024","passed","Tue Dec 17 10:57:31 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","2949","Importer un fichier","firefox","Tue Dec 17 10:58:14 UTC 2024","passed","Tue Dec 17 10:58:17 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","3596","Suspendre un administrateur","chromium","Tue Dec 17 10:57:17 UTC 2024","passed","Tue Dec 17 10:57:21 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","1517","@MA-15 connexion","webkit","Tue Dec 17 10:59:40 UTC 2024","passed","Tue Dec 17 10:59:41 UTC 2024","","login.spec.ts","",""
"","5015","Editer un administrateur","webkit","Tue Dec 17 10:59:31 UTC 2024","passed","Tue Dec 17 10:59:36 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","3131","@MA-65 Activités: Vérification colonnes de ta table Activité","firefox","Tue Dec 17 10:57:53 UTC 2024","passed","Tue Dec 17 10:57:56 UTC 2024","TestSuite Activités","baseconnexion.spec.ts","",""
"","1763","@MA-67 Mise à jour des données du profil connecté","chromium","Tue Dec 17 10:57:00 UTC 2024","passed","Tue Dec 17 10:57:02 UTC 2024","TestSuite Compte_Utilisateur","baseconnexion.spec.ts","",""
"","4744","@MA-73 Suspendre un collaborateur","firefox","Tue Dec 17 10:57:37 UTC 2024","passed","Tue Dec 17 10:57:42 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","4832","@MA-66 Activités: Recherche sur la table Activité","firefox","Tue Dec 17 10:57:56 UTC 2024","passed","Tue Dec 17 10:58:01 UTC 2024","TestSuite Activités","baseconnexion.spec.ts","",""
"","1846","@MA-76 Dashboard: Verification tableau utilisateurs","chromium","Tue Dec 17 10:56:50 UTC 2024","passed","Tue Dec 17 10:56:51 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","3785","@MA-70 Rechercher un collaborateur","chromium","Tue Dec 17 10:56:34 UTC 2024","passed","Tue Dec 17 10:56:37 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","5142","@MA-70 Rechercher un collaborateur","webkit","Tue Dec 17 10:58:34 UTC 2024","passed","Tue Dec 17 10:58:39 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","1569","@MA-15 connexion","firefox","Tue Dec 17 10:58:25 UTC 2024","passed","Tue Dec 17 10:58:26 UTC 2024","","login.spec.ts","",""
"","2546","@MA-67 Mise à jour des données du profil connecté","firefox","Tue Dec 17 10:58:01 UTC 2024","passed","Tue Dec 17 10:58:03 UTC 2024","TestSuite Compte_Utilisateur","baseconnexion.spec.ts","",""
"","3093","@MA-77 Dashboard: Vérification des filtres sur le dashboard","webkit","Tue Dec 17 10:59:01 UTC 2024","passed","Tue Dec 17 10:59:04 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","3381","Editer un administrateur","chromium","Tue Dec 17 10:57:14 UTC 2024","passed","Tue Dec 17 10:57:17 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","2629","@MA-75 Dashboard: Verification de la vue d-ensemble du remboursement","chromium","Tue Dec 17 10:56:47 UTC 2024","passed","Tue Dec 17 10:56:50 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","2399","@MA-71 Fonctionnalite Bouton Import Fichier","firefox","Tue Dec 17 10:57:31 UTC 2024","passed","Tue Dec 17 10:57:33 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","2771","@MA-75 Dashboard: Verification de la vue d-ensemble du remboursement","webkit","Tue Dec 17 10:58:55 UTC 2024","passed","Tue Dec 17 10:58:58 UTC 2024","TestSuite Dashboard","baseconnexion.spec.ts","",""
"","4498","Rechercher un administrateur","chromium","Tue Dec 17 10:57:07 UTC 2024","passed","Tue Dec 17 10:57:11 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","5175","@MA-66 Activités: Recherche sur la table Activité","webkit","Tue Dec 17 10:59:07 UTC 2024","passed","Tue Dec 17 10:59:12 UTC 2024","TestSuite Activités","baseconnexion.spec.ts","",""
"","4386","@MA-73 Suspendre un collaborateur","webkit","Tue Dec 17 10:58:48 UTC 2024","passed","Tue Dec 17 10:58:52 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","3355","@MA-68 Vérifier paramètres du profil connecté","webkit","Tue Dec 17 10:59:16 UTC 2024","passed","Tue Dec 17 10:59:19 UTC 2024","TestSuite Compte_Utilisateur","baseconnexion.spec.ts","",""
"","3996","Suspendre un administrateur","firefox","Tue Dec 17 10:58:21 UTC 2024","passed","Tue Dec 17 10:58:25 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","3570","@MA-67 Mise à jour des données du profil connecté","webkit","Tue Dec 17 10:59:12 UTC 2024","passed","Tue Dec 17 10:59:16 UTC 2024","TestSuite Compte_Utilisateur","baseconnexion.spec.ts","",""
"","4026","@MA-66 Activités: Recherche sur la table Activité","chromium","Tue Dec 17 10:56:56 UTC 2024","passed","Tue Dec 17 10:57:00 UTC 2024","TestSuite Activités","baseconnexion.spec.ts","",""
"","1766","@MA-68 Vérifier paramètres du profil connecté","chromium","Tue Dec 17 10:57:02 UTC 2024","passed","Tue Dec 17 10:57:04 UTC 2024","TestSuite Compte_Utilisateur","baseconnexion.spec.ts","",""
"","4793","@MA-72 Editer un collaborateur","webkit","Tue Dec 17 10:58:43 UTC 2024","passed","Tue Dec 17 10:58:48 UTC 2024","TestSuite Collaborateurs","baseconnexion.spec.ts","",""
"","4161","Editer un administrateur","firefox","Tue Dec 17 10:58:17 UTC 2024","passed","Tue Dec 17 10:58:21 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
"","2968","@MA-65 Activités: Vérification colonnes de ta table Activité","webkit","Tue Dec 17 10:59:04 UTC 2024","passed","Tue Dec 17 10:59:07 UTC 2024","TestSuite Activités","baseconnexion.spec.ts","",""
"","3846","Suspendre un administrateur","webkit","Tue Dec 17 10:59:36 UTC 2024","passed","Tue Dec 17 10:59:40 UTC 2024","TestSuite administrateur","baseconnexion.spec.ts","",""
